step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
510,613,0.5288,0.3384,0.0018,0.0,0.0,8.38e-05,0.55,31.7,88.8,52.4
515,613,0.7507,0.5072,0.0438,0.0,0.0,8.07e-05,0.78,31.7,88.8,52.4
520,613,0.5767,0.3758,0.0035,0.0,0.0,7.77e-05,0.52,31.7,88.8,52.3
525,613,0.6606,0.4211,0.0085,0.0,0.0,7.48e-05,1.85,31.7,88.8,52.3
530,613,0.5524,0.3522,0.0018,0.0,0.0,7.21e-05,0.47,31.7,88.8,52.3
535,613,0.5433,0.3715,0.0028,0.0,0.0,6.96e-05,0.35,31.7,88.8,52.3
540,613,0.3956,0.2682,0.0023,0.0,0.0,6.72e-05,0.6,31.7,88.8,52.2
545,613,0.8676,0.5217,0.0059,0.0,0.0,6.49e-05,1.17,31.7,88.8,52.2
550,613,0.5196,0.3439,0.0024,0.0,0.0,6.28e-05,0.52,31.7,88.8,52.2
555,613,0.7139,0.4441,0.0067,0.0,0.0,6.09e-05,0.66,31.7,88.8,52.4
560,613,0.6675,0.4202,0.008,0.0,0.0,5.91e-05,0.34,31.7,88.8,52.4
565,613,0.7409,0.4619,0.0054,0.0,0.0,5.75e-05,0.69,31.7,88.8,52.4
570,613,0.9986,0.5951,0.0125,0.0,0.0,5.6e-05,0.54,31.7,88.8,52.3
575,613,0.3785,0.2586,0.0015,0.0,0.0,5.47e-05,0.77,31.7,88.8,52.3
580,613,0.5641,0.351,0.0066,0.0,0.0,5.35e-05,0.59,31.7,88.8,52.3
585,613,0.639,0.3998,0.002,0.0,0.0,5.26e-05,0.54,31.7,88.8,52.3
590,613,0.6942,0.4211,0.0026,0.0,0.0,5.17e-05,0.5,31.7,88.8,52.2
595,613,0.5696,0.3689,0.0061,0.0,0.0,5.11e-05,0.32,31.7,88.8,52.2
600,613,0.41,0.2813,0.0022,0.0,0.0,5.06e-05,0.96,31.7,88.8,52.2
605,613,0.3866,0.2886,0.0028,0.0,0.0,5.02e-05,1.27,31.7,88.8,52.4
610,613,0.3764,0.2853,0.0015,0.0,0.0,5e-05,0.26,31.7,88.8,52.4
