step,total_steps,loss,kd_kl,stop_anchor,steer,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
530,613,0.5466,0.34,0.0019,0.0,7.21e-05,0.46,31.6,88.7,50.8
535,613,0.5285,0.3487,0.0017,0.0,6.96e-05,0.31,31.6,88.7,50.8
540,613,0.3884,0.251,0.0038,0.0,6.72e-05,0.6,31.6,88.7,50.8
545,613,0.8426,0.4686,0.0041,0.0,6.49e-05,1.03,31.6,88.7,50.7
550,613,0.5073,0.3263,0.0043,0.0,6.28e-05,0.47,31.6,88.7,50.7
555,613,0.6893,0.4,0.0065,0.0,6.09e-05,0.6,31.6,88.7,51.0
560,613,0.6489,0.3819,0.0078,0.0,5.91e-05,0.29,31.6,88.7,50.9
565,613,0.725,0.4241,0.0048,0.0,5.75e-05,0.55,31.6,88.7,50.9
570,613,0.9634,0.521,0.0134,0.0,5.6e-05,0.47,31.6,88.7,50.9
575,613,0.3817,0.2549,0.0032,0.0,5.47e-05,0.44,31.6,88.7,50.8
580,613,0.5446,0.311,0.0079,0.0,5.35e-05,0.47,31.6,88.7,50.8
585,613,0.6304,0.3804,0.0025,0.0,5.26e-05,0.53,31.6,88.7,50.8
590,613,0.6803,0.3996,0.0011,0.0,5.17e-05,0.45,31.6,88.7,50.8
595,613,0.5978,0.3845,0.004,0.0,5.11e-05,0.29,31.6,88.7,50.7
600,613,0.4349,0.3063,0.0013,0.0,5.06e-05,1.31,31.6,88.7,50.7
605,613,0.3822,0.2996,0.0019,0.0,5.02e-05,0.82,31.6,88.7,51.0
610,613,0.3809,0.2932,0.0023,0.0,5e-05,0.23,31.6,88.7,51.0
